,0res,0res2
0,0.5555555555555556,0.7647058823529411
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.6423841059602649,0.8543046357615894
5,0.7450980392156863,0.8235294117647058
6,0.0,0.058823529411764705
7,0.7152317880794702,0.8278145695364238
8,0.8235294117647058,0.8104575163398693
9,0.7189542483660131,0.8562091503267973
10,0.7189542483660131,0.8366013071895425
11,0.7450980392156863,0.8627450980392157
12,0.6993464052287581,0.8627450980392157
13,0.8243243243243243,0.8513513513513513
14,1.0,1.0
15,0.7189542483660131,0.869281045751634
16,0.7908496732026143,0.8300653594771242
17,0.6666666666666666,0.7058823529411765
18,0.7450980392156863,0.8496732026143791
19,0.6535947712418301,0.8235294117647058
20,0.5359477124183006,0.6013071895424836
21,0.8066666666666666,0.8533333333333334
22,0.7189542483660131,0.8104575163398693
23,0.26143790849673204,0.7973856209150327
24,0.6797385620915033,0.803921568627451
25,0.8169934640522876,0.869281045751634
26,0.0,0.0
27,0.738562091503268,0.8104575163398693
28,0.8104575163398693,0.8366013071895425
29,0.0,0.0
30,0.7189542483660131,0.8431372549019608
31,0.7124183006535948,0.8627450980392157
32,0.6601307189542484,0.7254901960784313
33,0.8092105263157895,0.8157894736842105
34,0.738562091503268,0.8562091503267973
35,0.0784313725490196,0.5228758169934641
36,0.0,0.0
37,0.0,0.0
38,0.7368421052631579,0.8092105263157895
39,0.45751633986928103,0.5686274509803921
40,0.0,0.0
41,0.7450980392156863,0.8627450980392157
42,0.5359477124183006,0.8562091503267973
43,0.0,0.0
44,0.6535947712418301,0.8627450980392157
45,0.0,0.0
46,0.6470588235294118,0.7843137254901961
47,0.7189542483660131,0.8627450980392157
48,0.7828947368421053,0.8355263157894737
49,1.0,1.0
50,0.7086092715231788,0.8543046357615894
51,0.0,0.0
52,0.6797385620915033,0.8496732026143791
53,0.6862745098039216,0.8431372549019608
54,0.6866666666666666,0.7066666666666667
55,0.6143790849673203,0.7516339869281046
56,0.0,0.0
57,0.625,0.8289473684210527
58,0.7019867549668874,0.7947019867549668
59,0.6666666666666666,0.8496732026143791
60,0.7973856209150327,0.8431372549019608
61,0.0,0.0
62,0.6013071895424836,0.8496732026143791
63,0.6928104575163399,0.8366013071895425
64,0.8289473684210527,0.8289473684210527
65,0.7368421052631579,0.8355263157894737
66,0.6274509803921569,0.7712418300653595
67,0.6644736842105263,0.8157894736842105
68,0.0,0.0
69,0.7450980392156863,0.8562091503267973
70,0.5294117647058824,0.7516339869281046
71,0.5294117647058824,0.8431372549019608
72,0.6143790849673203,0.869281045751634
73,0.6339869281045751,0.8300653594771242
74,0.6601307189542484,0.7516339869281046
75,0.32679738562091504,0.7450980392156863
76,0.6993464052287581,0.7973856209150327
77,0.7320261437908496,0.7908496732026143
78,0.24836601307189543,0.6078431372549019
79,1.0,1.0
80,0.6887417218543046,0.847682119205298
81,0.7,0.7133333333333334
82,0.3333333333333333,0.7843137254901961
83,1.0,1.0
84,0.7516339869281046,0.8562091503267973
85,0.3790849673202614,0.5359477124183006
86,0.0,0.058823529411764705
87,0.7908496732026143,0.8169934640522876
88,0.44666666666666666,0.7533333333333333
89,0.6339869281045751,0.8104575163398693
90,0.0,0.0
91,1.0,1.0
92,0.8823529411764706,0.8627450980392157
93,0.6862745098039216,0.8562091503267973
94,0.33774834437086093,0.847682119205298
95,0.0,0.0
96,0.7058823529411765,0.8366013071895425
97,0.0,0.0
98,0.8104575163398693,0.8366013071895425
99,0.7843137254901961,0.8562091503267973
100,0.0,0.0
101,0.6274509803921569,0.803921568627451
102,0.0,0.0
103,0.7058823529411765,0.8235294117647058
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.7368421052631579,0.8552631578947368
108,0.5686274509803921,0.8366013071895425
109,0.6862745098039216,0.803921568627451
110,1.0,1.0
111,0.7763157894736842,0.8486842105263158
112,0.6862745098039216,0.7908496732026143
113,1.0,1.0
114,0.738562091503268,0.7581699346405228
115,0.7549668874172185,0.8741721854304636
116,0.7880794701986755,0.8609271523178808
